distance,fraction_intensity,n,norm_intensity,fraction_mode,sample,type
25,13.3434043857597,232256,5.74512795611725e-05,0.0706564106681652,H.sapiens,af488
26,12.8544709617277,250592,5.12964139387038e-05,0.0630868540568895,H.sapiens,af488
27,12.7810219417822,275040,4.64696841978703e-05,0.0571507043077886,H.sapiens,af488
28,11.1896044916841,262816,4.25758115627818e-05,0.052361828131386,H.sapiens,af488
29,11.2086707912495,281152,3.98669431170665e-05,0.049030328418787,H.sapiens,af488
30,11.1445827407994,299488,3.72121178170725e-05,0.0457652936261523,H.sapiens,af488
31,11.1824589874353,311712,3.58743294689818e-05,0.0441200156857517,H.sapiens,af488
32,10.9025763872626,317824,3.43038171669307e-05,0.0421885223748851,H.sapiens,af488
33,10.4525582898523,311712,3.35327426914982e-05,0.0412402170419484,H.sapiens,af488
34,10.6387477955372,323936,3.28421286783105e-05,0.0403908659447805,H.sapiens,af488
35,10.2044996597699,317824,3.21073917003433e-05,0.0394872502543231,H.sapiens,af488
36,11.8521332819179,372832,3.17894742991961e-05,0.0390962597903057,H.sapiens,af488
37,11.6449351304518,372832,3.12337329694119e-05,0.0384127817560055,H.sapiens,af488
38,11.5725958318466,372832,3.10397064410956e-05,0.0381741583838204,H.sapiens,af488
39,10.9061686171965,354496,3.07652797695786e-05,0.0378366549591951,H.sapiens,af488
40,9.90265019710351,323936,3.05697736500528e-05,0.0375962119129328,H.sapiens,af488
41,8.07030234983488,262816,3.07070435203141e-05,0.037765033154159,H.sapiens,af488
42,6.70109622655268,220032,3.04550984700074e-05,0.0374551787335742,H.sapiens,af488
43,6.53644595648672,213920,3.0555562623816e-05,0.0375787344935703,H.sapiens,af488
44,5.43626523977264,177248,3.06703897351318e-05,0.0377199545254815,H.sapiens,af488
45,5.00377140497203,165024,3.03214769062199e-05,0.0372908443591754,H.sapiens,af488
46,4.11301269809382,134464,3.05882072383227e-05,0.0376188824468675,H.sapiens,af488
47,3.51625047941409,116128,3.02790927202232e-05,0.0372387182015948,H.sapiens,af488
48,3.87532464823173,128352,3.01929432204542e-05,0.0371327673075323,H.sapiens,af488
49,2.60086099431771,85568,3.0395252831873e-05,0.037381577622911,H.sapiens,af488
50,2.39707918914619,79456,3.01686365931609e-05,0.037102873821206,H.sapiens,af488
51,2.03579848636321,67232,3.02802011893624e-05,0.0372400814514877,H.sapiens,af488
52,1.11530016333502,36672,3.04128534940833e-05,0.037403223783391,H.sapiens,af488
53,1.6621992064034,55008,3.02174084933719e-05,0.0371628559040542,H.sapiens,af488
54,0.553005654553382,18336,3.01595579490282e-05,0.0370917084579095,H.sapiens,af488
55,0.552256045611728,18336,3.01186761350201e-05,0.0370414299913291,H.sapiens,af488
0,933,4484,0.20807314897413,1,R.sinicus472,brightfield
1,1788,8968,0.199375557537913,0.958199356913183,R.sinicus472,brightfield
2,4343,22420,0.19371097234612,0.930975348338692,R.sinicus472,brightfield
