distance,fraction_intensity,n,norm_intensity,fraction_mode,type
26,0.567440502372234,56416,1.00581484396667e-05,0.00420792763435151,mirfp670
27,0.588559414510454,61920,9.50515850307582e-06,0.00397657872857059,mirfp670
28,0.508186724107604,59168,8.58887784119125e-06,0.00359324349136527,mirfp670
29,0.499992948568391,63296,7.89928192252893e-06,0.00330474409805433,mirfp670
30,0.494901410316184,67424,7.34013719619399e-06,0.00307082027403641,mirfp670
31,0.478508837636314,70176,6.81869638674639e-06,0.00285267026313581,mirfp670
32,0.415510308693719,71552,5.80710963626061e-06,0.00242946276451452,mirfp670
33,0.44792580360971,70176,6.38289163830526e-06,0.0026703469602787,mirfp670
34,0.44180092339563,72928,6.05804249939159e-06,0.00253444305342849,mirfp670
35,0.40825760887515,71552,5.70574699344742e-06,0.00238705668268514,mirfp670
36,0.439532230421847,83936,5.23651627933005e-06,0.00219074929065719,mirfp670
37,0.422226438755667,83936,5.03033786165254e-06,0.00210449247444929,mirfp670
38,0.34199412128581,83936,4.0744629394516e-06,0.00170459257992694,mirfp670
39,0.399425173206741,79808,5.00482624807965e-06,0.00209381943413833,mirfp670
40,0.298509593503425,72928,4.09320965203248e-06,0.0017124354558196,mirfp670
41,0.316040952520629,59168,5.34141685574346e-06,0.00223463550261729,mirfp670
42,0.169483950771574,49536,3.42142988476206e-06,0.00143138962876188,mirfp670
43,0.254586309024791,48160,5.28626056945164e-06,0.00221156031510264,mirfp670
44,0.230536978248551,39904,5.77728995209881e-06,0.00241698739951223,mirfp670
45,0.143868378840089,37152,3.87242621770266e-06,0.00162006848389666,mirfp670
46,0.172302082986539,30272,5.69179713882595e-06,0.00238122062059986,mirfp670
47,0.116168818326228,26144,4.44342175360421e-06,0.00185895021337441,mirfp670
48,0.0928933718220635,28896,3.21474847114007e-06,0.00134492237913799,mirfp670
49,0.0883114905075818,19264,4.58427587767762e-06,0.00191787795386822,mirfp670
50,0.0454794131728206,17888,2.54245377755034e-06,0.00106366112747189,mirfp670
51,0.10543209550207,15136,6.96565112989362e-06,0.00291415025902149,mirfp670
52,0.0471704151825763,8256,5.7134708312229e-06,0.00239028802795845,mirfp670
53,0.0532448715766865,12384,4.29948898390556e-06,0.00179873449049691,mirfp670
54,0.0151812298241892,4128,3.67762350392181e-06,0.00153857080790966,mirfp670
55,0.00755030192495866,4128,1.82904600895316e-06,0.000765199807075966,mirfp670
0,0.948968683844758,1376,0.000689657473724388,0.739035010428941,af488
1,1.90896169357921,2752,0.000693663406097097,0.743327756300099,af488
